Version,Filename,LOC_added,MAX_LOC_added,AVG_LOC_addded,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSetSize,AVG_ChgSetSize,Buggy
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,59,59,59.0,37,37,37.0,5,5,5.0,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,13,13,13.0,13,13,13.0,12,12,12.0,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,9,9,9.0,-1,0,-1.0,12,12,12.0,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/AlreadyStartDeliveryException.java,36,36,36.0,36,36,36.0,0,0,0.0,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,42,42,42.0,6,6,6.0,33,33,33.0,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,5,5,5.0,-6,0,-6.0,4,4,4.0,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,12,12,12.0,11,11,11.0,4,4,4.0,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,120,38,30.0,96,37,24.000002,24,12,6.0,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,9,9,9.0,9,9,9.0,6,6,6.0,No
1,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,5,5,5.0,5,5,5.0,33,33,33.0,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,3,3,3.0,0,0,0.0,33,33,33.0,Yes
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,0,0,0,0,0,0,0,0,0,Yes
1,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,6428,6428,6428.0,156,156,156.0,12,12,12.0,Yes
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,1,1,1.0,0,0,0.0,33,33,33.0,Yes
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,0,0,0,0,0,0,0,0,0,No
1,hedwig-server/src/main/java/org/apache/hedwig/admin/HedwigAdmin.java,407,397,135.66667,400,397,133.33334,37,33,12.333333,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigCommands.java,428,424,214.0,425,424,212.5,37,33,18.5,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigConsole.java,1056,1029,528.0,1041,1029,520.5,37,33,18.5,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/admin/console/JLineHedwigCompletor.java,92,92,92.0,92,92,92.0,4,4,4.0,No
1,hedwig-server/src/main/java/org/apache/hedwig/admin/console/ReadTopic.java,357,357,178.5,355,357,177.5,37,33,18.5,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,0,0,0,0,0,0,0,0,0,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,0,0,0,0,0,0,0,0,0,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,0,0,0,0,0,0,0,0,0,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,0,0,0,0,0,0,0,0,0,No
